TYPE	CODE	DESC
RX	64253033335	HEPARIN FLUSH
RX	01439619001	nan
DX	S82102B	UNSPECIFIED FRACTURE OF UPPER END OF LEFT TIBIA, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE I OR II
DX	S72391E	OTHER FRACTURE OF SHAFT OF RIGHT FEMUR, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH ROUTINE HEALING
RX	49281547508	nan
DX	F9020	nan
DX	M50922	UNSPECIFIED CERVICAL DISC DISORDER AT C5-C6 LEVEL
DX	S92353B	DISPLACED FRACTURE OF FIFTH METATARSAL BONE, UNSPECIFIED FOOT, INITIAL ENCOUNTER FOR OPEN FRACTURE
DX	S22032D	UNSTABLE BURST FRACTURE OF THIRD THORACIC VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
PR	03UB0KZ	SUPPLEMENT RIGHT RADIAL ARTERY WITH NONAUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
DX	H8301	LABYRINTHITIS, RIGHT EAR
RX	62991206804	THIAMINE HCL
PR	92110	nan
DX	S52361K	DISPLACED SEGMENTAL FRACTURE OF SHAFT OF RADIUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH NONUNION
RX	50458059601	RISPERIDONE
DX	T457X4A	POISONING BY ANTICOAGULANT ANTAGONISTS, VITAMIN K AND OTHER COAGULANTS, UNDETERMINED, INITIAL ENCOUNTER
DX	53510	ATROPHIC GASTRITIS WITHOUT MENTION OF HEMORRHAGE
DX	S8265XD	NONDISPLACED FRACTURE OF LATERAL MALLEOLUS OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
PR	0W953ZZ	DRAINAGE OF LOWER JAW, PERCUTANEOUS APPROACH
PR	01925	ANESTHESIA FOR THERAPEUTIC INTERVENTIONAL RADIOLOGICAL PROCEDURES INVOLVING THE ARTERIAL SYSTEM; CAROTID OR CORONARY
PR	31002	LAVAGE BY CANNULATION; SPHENOID SINUS
PR	FLOR4	nan
PR	9947	VACCINATION AGAINST RUBELLA
DX	D642	SECONDARY SIDEROBLASTIC ANEMIA DUE TO DRUGS AND TOXINS
RX	49281627105	nan
PR	BR0CZZZ	PLAIN RADIOGRAPHY OF PELVIS
RX	00270131558	ISOVUE-300
PR	B51NYZA	FLUOROSCOPY OF LEFT UPPER EXTREMITY VEINS USING OTHER CONTRAST, GUIDANCE
PR	61322	CRANIECTOMY OR CRANIOTOMY, DECOMPRESSIVE, WITH OR WITHOUT DURAPLASTY, FOR TREATMENT OF INTRACRANIAL HYPERTENSION, WITHOUT EVACUATION OF ASSOCIATED INTRAPARENCHYMAL HEMATOMA; WITHOUT LOBECTOMY
DX	6982	PRURIGO
DX	S028	FRACTURES OF OTHER SPECIFIED SKULL AND FACIAL BONES
DX	S92224A	NONDISPLACED FRACTURE OF LATERAL CUNEIFORM OF RIGHT FOOT, INITIAL ENCOUNTER FOR CLOSED FRACTURE
RX	10019002839	MIDAZOLAM HCL
RX	00409660902	NEUT
DX	S5292XC	UNSPECIFIED FRACTURE OF LEFT FOREARM, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC
DX	S60312A	ABRASION OF LEFT THUMB, INITIAL ENCOUNTER
PR	BQ3HZZZ	MAGNETIC RESONANCE IMAGING (MRI) OF LEFT ANKLE
DX	T733XX	nan
PR	45.76	nan
PR	64823	SYMPATHECTOMY; SUPERFICIAL PALMAR ARCH
RX	62756044602	CARISOPRODOL
RX	00591389201	SUCRALFATE
RX	67467064301	ALBUMIN (HUMAN)
PR	55550	LAPAROSCOPY, SURGICAL, WITH LIGATION OF SPERMATIC VEINS FOR VARICOCELE
DX	36034	FLAT ANTERIOR CHAMBER OF EYE
DX	V760XXA	DRIVER OF BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT, INITIAL ENCOUNTER
PR	M0076	PROLOTHERAPY
DX	354	MONONEURITIS OF UPPER LIMB AND MONONEURITIS MULTIPLEX
DX	961	POISONING BY OTHER ANTI-INFECTIVES
PR	02H632Z	INSERTION OF MONITORING DEVICE INTO RIGHT ATRIUM, PERCUTANEOUS APPROACH
DX	B441	OTHER PULMONARY ASPERGILLOSIS
DX	K403	UNILATERAL INGUINAL HERNIA, WITH OBSTRUCTION, WITHOUT GANGRENE
DX	S0032XD	BLISTER (NONTHERMAL) OF NOSE, SUBSEQUENT ENCOUNTER
PR	00BM4ZZ	EXCISION OF FACIAL NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH
PR	83500	HYDROXYPROLINE; FREE
DX	S92143D	DISPLACED DOME FRACTURE OF UNSPECIFIED TALUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
PR	A4246	BETADINE OR PHISOHEX SOLUTION, PER PINT
RX	68382042360	nan
PR	0D754ZZ	DILATION OF ESOPHAGUS, PERCUTANEOUS ENDOSCOPIC APPROACH
DX	V598	DONOR OF OTHER SPECIFIED ORGAN OR TISSUE
PR	04HM33Z	INSERTION OF INFUSION DEVICE INTO RIGHT POPLITEAL ARTERY, PERCUTANEOUS APPROACH
RX	49285062515	nan
DX	Z79799	nan
PR	83633	LACTOSE, URINE, QUALITATIVE
DX	T8059XS	ANAPHYLACTIC REACTION DUE TO OTHER SERUM, SEQUELA
DX	04089	OTHER SPECIFIED BACTERIAL DISEASES
PR	29260	STRAPPING; ELBOW OR WRIST
DX	65471	CONGENITAL OR ACQUIRED ABNORMALITY OF VAGINA, WITH DELIVERY
DX	M25530	nan
RX	00488784021	nan
RX	25021015910	COLISTIMETHATE
RX	45567005552	nan
DX	S56418D	STRAIN OF EXTENSOR MUSCLE, FASCIA AND TENDON OF LEFT LITTLE FINGER AT FOREARM LEVEL, SUBSEQUENT ENCOUNTER
PR	0JRG07Z	REPLACEMENT OF RIGHT LOWER ARM SUBCUTANEOUS TISSUE AND FASCIA WITH AUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
PR	0JPT3PZ	REMOVAL OF CARDIAC RHYTHM RELATED DEVICE FROM TRUNK SUBCUTANEOUS TISSUE AND FASCIA, PERCUTANEOUS APPROACH
PR	90877	nan
PR	0DBP7ZX	EXCISION OF RECTUM, VIA NATURAL OR ARTIFICIAL OPENING, DIAGNOSTIC
PR	70837	nan
RX	06652111310	nan
DX	20274	PERIPHERAL T-CELL LYMPHOMA, LYMPH NODES OF AXILLA AND UPPER LIMB
PR	0QUP07Z	SUPPLEMENT LEFT METATARSAL WITH AUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
PR	26550	POLLICIZATION OF A DIGIT
DX	S5430XS	INJURY OF CUTANEOUS SENSORY NERVE AT FOREARM LEVEL, UNSPECIFIED ARM, SEQUELA
RX	00065906870	PEPTAMEN JUNIOR WITH PREBIO1
PR	L4386	WALKING BOOT, NON-PNEUMATIC, WITH OR WITHOUT JOINTS, WITH OR WITHOUT INTERFACE MATERIAL, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE
DX	M84464D	PATHOLOGICAL FRACTURE, LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
DX	582	CHRONIC GLOMERULONEPHRITIS
DX	80113	CLOSED FRACTURE OF BASE OF SKULL WITH CEREBRAL LACERATION AND CONTUSION, MODERATE (1-24 HOURS) LOSS OF CONSCIOUSNESS
DX	T82528D	DISPLACEMENT OF OTHER CARDIAC AND VASCULAR DEVICES AND IMPLANTS, SUBSEQUENT ENCOUNTER
RX	67451042100	nan
RX	00009307303	DEPO-MEDROL
DX	S63254S	UNSPECIFIED DISLOCATION OF RIGHT RING FINGER, SEQUELA
RX	00603942445	RISPERIDONE
RX	68546031730	COPAXONE
DX	C6302	MALIGNANT NEOPLASM OF LEFT EPIDIDYMIS
DX	M65179	OTHER INFECTIVE (TENO)SYNOVITIS, UNSPECIFIED ANKLE AND FOOT
PR	S9447	INFANT SAFETY (INCLUDING CPR) CLASSES, NONPHYSICIAN PROVIDER, PER SESSION
DX	H01115	ALLERGIC DERMATITIS OF LEFT LOWER EYELID
PR	05QG0ZZ	REPAIR RIGHT HAND VEIN, OPEN APPROACH
PR	67599	UNLISTED PROCEDURE, ORBIT
RX	53746010305	GABAPENTIN
DX	F928	nan
RX	00404733201	nan
DX	T504X4A	POISONING BY DRUGS AFFECTING URIC ACID METABOLISM, UNDETERMINED, INITIAL ENCOUNTER
DX	I69352	HEMIPLEGIA AND HEMIPARESIS FOLLOWING CEREBRAL INFARCTION AFFECTING LEFT DOMINANT SIDE
RX	00054350547	LIDOCAINE HCL
RX	00338634602	DEXTROSE IN WATER
DX	99661	INFECTION AND INFLAMMATORY REACTION DUE TO CARDIAC DEVICE, IMPLANT, AND GRAFT
DX	S0990A	nan
DX	H402223	CHRONIC ANGLE-CLOSURE GLAUCOMA, LEFT EYE, SEVERE STAGE
RX	55154391405	nan
PR	57421	COLPOSCOPY OF THE ENTIRE VAGINA, WITH CERVIX IF PRESENT; WITH BIOPSY(S) OF VAGINA/CERVIX
DX	D969	nan
DX	I6501	OCCLUSION AND STENOSIS OF RIGHT VERTEBRAL ARTERY
RX	68180044907	QUETIAPINE FUMARATE
RX	00009247501	nan
PR	65273	REPAIR OF LACERATION; CONJUNCTIVA, BY MOBILIZATION AND REARRANGEMENT, WITH HOSPITALIZATION
DX	H264	SECONDARY CATARACT
DX	D2121	BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF RIGHT LOWER LIMB, INCLUDING HIP
PR	4462	CLOSURE OF GASTROSTOMY
DX	M05249	RHEUMATOID VASCULITIS WITH RHEUMATOID ARTHRITIS OF UNSPECIFIED HAND
PR	82627	DEHYDROEPIANDROSTERONE-SULFATE (DHEA-S)
DX	64760	OTHER MATERNAL VIRAL DISEASE COMPLICATING PREGNANCY, CHILDBIRTH, OR THE PUERPERIUM, UNSPECIFIED AS TO EPISODE OF CARE
DX	S1093XA	CONTUSION OF UNSPECIFIED PART OF NECK, INITIAL ENCOUNTER
PR	9324	TRAINING IN USE OF PROSTHETIC OR ORTHOTIC DEVICE
DX	56942	ANAL OR RECTAL PAIN
DX	Q219	CONGENITAL MALFORMATION OF CARDIAC SEPTUM, UNSPECIFIED
DX	S53024S	POSTERIOR DISLOCATION OF RIGHT RADIAL HEAD, SEQUELA
PR	02WA3JZ	REVISION OF SYNTHETIC SUBSTITUTE IN HEART, PERCUTANEOUS APPROACH
RX	00233921002	nan
DX	S32511K	FRACTURE OF SUPERIOR RIM OF RIGHT PUBIS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
PR	07T00ZZ	RESECTION OF HEAD LYMPHATIC, OPEN APPROACH
RX	19515088507	FLULAVAL
DX	94430	FULL-THICKNESS SKIN LOSS DUE TO BURN (THIRD DEGREE NOS) OF UNSPECIFIED SITE OF HAND
RX	00641620925	MIDAZOLAM HCL
DX	G568	OTHER SPECIFIED MONONEUROPATHIES OF UPPER LIMB
RX	00517072010	nan
PR	0SB83ZX	EXCISION OF LEFT SACROILIAC JOINT, PERCUTANEOUS APPROACH, DIAGNOSTIC
RX	40014397260	nan
PR	B028YZZ	COMPUTERIZED TOMOGRAPHY (CT SCAN) OF CEREBRAL VENTRICLE(S) USING OTHER CONTRAST
RX	06079360002	nan
DX	M24329	PATHOLOGICAL DISLOCATION OF UNSPECIFIED ELBOW, NOT ELSEWHERE CLASSIFIED
DX	C323	MALIGNANT NEOPLASM OF LARYNGEAL CARTILAGE
DX	T990004	nan
RX	55289092430	METHOTREXATE
DX	T8332XD	DISPLACEMENT OF INTRAUTERINE CONTRACEPTIVE DEVICE, SUBSEQUENT ENCOUNTER
PR	L3340	HEEL WEDGE, SACH
PR	64804	SYMPATHECTOMY, CERVICOTHORACIC
DX	Z23U	nan
RX	00019133200	nan
RX	59762330403	NITROGLYCERIN
PR	04HM3DZ	INSERTION OF INTRALUMINAL DEVICE INTO RIGHT POPLITEAL ARTERY, PERCUTANEOUS APPROACH
RX	00064119003	nan
PR	73140	RADIOLOGIC EXAMINATION, FINGER(S), MINIMUM OF 2 VIEWS
DX	S20411S	ABRASION OF RIGHT BACK WALL OF THORAX, SEQUELA
DX	V311	TWIN BIRTH, MATE LIVEBORN, BORN BEFORE ADMISSION TO HOSPITAL
DX	S83095D	OTHER DISLOCATION OF LEFT PATELLA, SUBSEQUENT ENCOUNTER
DX	L85	OTHER EPIDERMAL THICKENING
RX	27046130112	nan
DX	S76201S	UNSPECIFIED INJURY OF ADDUCTOR MUSCLE, FASCIA AND TENDON OF RIGHT THIGH, SEQUELA
RX	63320301653	nan
PR	0D1B4ZL	BYPASS ILEUM TO TRANSVERSE COLON, PERCUTANEOUS ENDOSCOPIC APPROACH
RX	00054011513	VALACYCLOVIR
RX	20005010010	nan
PR	35.24	nan
RX	16714035601	LEVETIRACETAM
RX	00310621030	FARXIGA
DX	R29719	NIHSS SCORE 19
DX	B440	INVASIVE PULMONARY ASPERGILLOSIS
PR	D1201	nan
DX	S62603P	FRACTURE OF UNSPECIFIED PHALANX OF LEFT MIDDLE FINGER, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION
DX	S52121R	DISPLACED FRACTURE OF HEAD OF RIGHT RADIUS, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC WITH MALUNION
DX	E8193	MOTOR VEHICLE TRAFFIC ACCIDENT OF UNSPECIFIED NATURE INJURING PASSENGER ON MOTORCYCLE
RX	06178637202	nan
RX	00064094090	nan
DX	H60522	ACUTE CHEMICAL OTITIS EXTERNA, LEFT EAR
PR	3861	OTHER EXCISION OF INTRACRANIAL VESSELS
PR	047U3Z1	DILATION OF LEFT PERONEAL ARTERY USING DRUG-COATED BALLOON, PERCUTANEOUS APPROACH
DX	S70922S	UNSPECIFIED SUPERFICIAL INJURY OF LEFT THIGH, SEQUELA
DX	S42223P	2-PART DISPLACED FRACTURE OF SURGICAL NECK OF UNSPECIFIED HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION
DX	6762	ENGORGEMENT OF BREASTS ASSOCIATED WITH CHILDBIRTH
DX	S31630D	PUNCTURE WOUND WITHOUT FOREIGN BODY OF ABDOMINAL WALL, RIGHT UPPER QUADRANT WITH PENETRATION INTO PERITONEAL CAVITY, SUBSEQUENT ENCOUNTER
PR	0WBF4ZZ	EXCISION OF ABDOMINAL WALL, PERCUTANEOUS ENDOSCOPIC APPROACH
PR	A4415	OSTOMY SKIN BARRIER, WITH FLANGE (SOLID, FLEXIBLE OR ACCORDION), WITHOUT BUILT-IN CONVEXITY, LARGER THAN 4 X 4 IN, EACH
DX	Q7251	LONGITUDINAL REDUCTION DEFECT OF RIGHT TIBIA
PR	81.07	nan
PR	3E053VG	INTRODUCTION OF INSULIN INTO PERIPHERAL ARTERY, PERCUTANEOUS APPROACH
DX	S335KXA	nan
PR	99355	PROLONGED EVALUATION AND MANAGEMENT OR PSYCHOTHERAPY SERVICE(S) (BEYOND THE TYPICAL SERVICE TIME OF THE PRIMARY PROCEDURE) IN THE OFFICE OR OTHER OUTPATIENT SETTING REQUIRING DIRECT PATIENT CONTACT BEYOND THE USUAL SERVICE; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PROLONGED SERVICE)
DX	S25429A	MAJOR LACERATION OF UNSPECIFIED PULMONARY BLOOD VESSELS, INITIAL ENCOUNTER
PR	47544	REMOVAL OF CALCULI/DEBRIS FROM BILIARY DUCT(S) AND/OR GALLBLADDER, PERCUTANEOUS, INCLUDING DESTRUCTION OF CALCULI BY ANY METHOD (EG, MECHANICAL, ELECTROHYDRAULIC, LITHOTRIPSY) WHEN PERFORMED, IMAGING GUIDANCE (EG, FLUOROSCOPY), AND ALL ASSOCIATED RADIOLOGICAL SUPERVISION AND INTERPRETATION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)
PR	0MDP0ZZ	EXTRACTION OF LEFT KNEE BURSA AND LIGAMENT, OPEN APPROACH
RX	08290846801	INSULIN SYRINGE
RX	00093574165	CYCLOSPORINE MODIFIED
DX	R5084	FEBRILE NONHEMOLYTIC TRANSFUSION REACTION
DX	S59291P	OTHER PHYSEAL FRACTURE OF LOWER END OF RADIUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION
DX	S90442A	EXTERNAL CONSTRICTION, LEFT GREAT TOE, INITIAL ENCOUNTER
DX	M70039	CREPITANT SYNOVITIS (ACUTE) (CHRONIC), UNSPECIFIED WRIST
RX	00378527201	ESZOPICLONE
DX	S02102B	FRACTURE OF BASE OF SKULL, LEFT SIDE, INITIAL ENCOUNTER FOR OPEN FRACTURE
RX	45802070000	TACROLIMUS
PR	0J9H0ZZ	DRAINAGE OF LEFT LOWER ARM SUBCUTANEOUS TISSUE AND FASCIA, OPEN APPROACH
DX	D1432	BENIGN NEOPLASM OF LEFT BRONCHUS AND LUNG
RX	00093550944	RISEDRONATE SODIUM DR
PR	3E0L705	INTRODUCTION OF OTHER ANTINEOPLASTIC INTO PLEURAL CAVITY, VIA NATURAL OR ARTIFICIAL OPENING
PR	04NN0ZZ	RELEASE LEFT POPLITEAL ARTERY, OPEN APPROACH
PR	85347	COAGULATION TIME; ACTIVATED
DX	Z89619	ACQUIRED ABSENCE OF UNSPECIFIED LEG ABOVE KNEE
PR	03U50KZ	SUPPLEMENT RIGHT AXILLARY ARTERY WITH NONAUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
PR	G8631	CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ORDERING PROPHYLACTIC PARENTERAL ANTIBIOTICS TO BE GIVEN WITHIN ONE HOUR (IF FLUOROQUINOLONE OR VANCOMYCIN, 2 HOURS) PRIOR TO SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)
RX	54799030190	PRE-MOIST PADS
RX	43353051160	DIGOXIN
RX	00562780500	RHOGAM ULTRA-FILTERED PLUS
DX	66990	UNSPECIFIED COMPLICATION OF LABOR AND DELIVERY, UNSPECIFIED AS TO EPISODE OF CARE
DX	R29722	NIHSS SCORE 22
DX	R454	IRRITABILITY AND ANGER
PR	0WBN3ZX	EXCISION OF FEMALE PERINEUM, PERCUTANEOUS APPROACH, DIAGNOSTIC
DX	S3500XA	UNSPECIFIED INJURY OF ABDOMINAL AORTA, INITIAL ENCOUNTER
RX	00781282431	FLUOXETINE HCL
RX	63776102140	nan
DX	V214XXD	MOTORCYCLE DRIVER INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT, SUBSEQUENT ENCOUNTER
DX	M4851XS	COLLAPSED VERTEBRA, NOT ELSEWHERE CLASSIFIED, OCCIPITO-ATLANTO-AXIAL REGION, SEQUELA OF FRACTURE
DX	T872	COMPLICATIONS OF OTHER REATTACHED BODY PART
DX	H401131	PRIMARY OPEN-ANGLE GLAUCOMA, BILATERAL, MILD STAGE
RX	08496301001	EASY TOUCH
DX	S91205D	UNSPECIFIED OPEN WOUND OF LEFT LESSER TOE(S) WITH DAMAGE TO NAIL, SUBSEQUENT ENCOUNTER
PR	037H3ZZ	DILATION OF RIGHT COMMON CAROTID ARTERY, PERCUTANEOUS APPROACH
PR	Q4104	INTEGRA BILAYER MATRIX WOUND DRESSING (BMWD), PER SQ CM
RX	00000930602	nan
RX	55513073001	XGEVA
PR	29821	ARTHROSCOPY, SHOULDER, SURGICAL; SYNOVECTOMY, COMPLETE
DX	35139	nan
DX	I1861	nan
PR	2BHK4	nan
PR	33400	VALVULOPLASTY, AORTIC VALVE; OPEN, WITH CARDIOPULMONARY BYPASS
DX	S24132A	ANTERIOR CORD SYNDROME AT T2-T6 LEVEL OF THORACIC SPINAL CORD, INITIAL ENCOUNTER
DX	S23421S	SPRAIN OF CHONDROSTERNAL JOINT, SEQUELA
PR	62365	REMOVAL OF SUBCUTANEOUS RESERVOIR OR PUMP, PREVIOUSLY IMPLANTED FOR INTRATHECAL OR EPIDURAL INFUSION
DX	S1192XD	LACERATION WITH FOREIGN BODY OF UNSPECIFIED PART OF NECK, SUBSEQUENT ENCOUNTER
RX	11951589611	nan
PR	3E063RZ	INTRODUCTION OF ANTIARRHYTHMIC INTO CENTRAL ARTERY, PERCUTANEOUS APPROACH
DX	G40A11	ABSENCE EPILEPTIC SYNDROME, INTRACTABLE, WITH STATUS EPILEPTICUS
DX	39600	nan
DX	S63529A	SPRAIN OF RADIOCARPAL JOINT OF UNSPECIFIED WRIST, INITIAL ENCOUNTER
DX	V6920XA	UNSPECIFIED OCCUPANT OF HEAVY TRANSPORT VEHICLE INJURED IN COLLISION WITH UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT, INITIAL ENCOUNTER
DX	K2210	ULCER OF ESOPHAGUS WITHOUT BLEEDING
PR	047T3Z6	DILATION OF RIGHT PERONEAL ARTERY, BIFURCATION, PERCUTANEOUS APPROACH
RX	00338100702	DOPAMINE HCL IN 5% DEXTROSE
RX	D8363776101	nan
RX	61703043482	M.V.I. ADULT
PR	90657	INFLUENZA VIRUS VACCINE, TRIVALENT (IIV3), SPLIT VIRUS, 0.25 ML DOSAGE, FOR INTRAMUSCULAR USE
RX	62332013230	OLMESARTAN MEDOXOMIL
RX	00703485211	FLUDARABINE PHOSPHATE
DX	L431	BULLOUS LICHEN PLANUS
PR	J9065	INJECTION, CLADRIBINE, PER 1 MG
RX	00172443160	MISOPROSTOL
RX	67457046302	GEMCITABINE HCL
DX	S02621B	FRACTURE OF SUBCONDYLAR PROCESS OF RIGHT MANDIBLE, INITIAL ENCOUNTER FOR OPEN FRACTURE
PR	90762	nan
DX	A852	ARTHROPOD-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED
DX	S92591A	OTHER FRACTURE OF RIGHT LESSER TOE(S), INITIAL ENCOUNTER FOR CLOSED FRACTURE
PR	97780	nan
DX	M2540	EFFUSION, UNSPECIFIED JOINT
PR	96001	COMPREHENSIVE COMPUTER-BASED MOTION ANALYSIS BY VIDEO-TAPING AND 3D KINEMATICS; WITH DYNAMIC PLANTAR PRESSURE MEASUREMENTS DURING WALKING
DX	Z889	ALLERGY STATUS TO UNSPECIFIED DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES STATUS
RX	65857030030	nan
DX	S92504G	NONDISPLACED UNSPECIFIED FRACTURE OF RIGHT LESSER TOE(S), SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
PR	3E03005	INTRODUCTION OF OTHER ANTINEOPLASTIC INTO PERIPHERAL VEIN, OPEN APPROACH
DX	G7080	LAMBERT-EATON SYNDROME, UNSPECIFIED
DX	94323	BLISTERS WITH EPIDERMAL LOSS DUE TO BURN (SECOND DEGREE) OF UPPER ARM
RX	61314027105	OLOPATADINE HCL
DX	E01419	nan
DX	S92532G	DISPLACED FRACTURE OF DISTAL PHALANX OF LEFT LESSER TOE(S), SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
DX	S098XXA	OTHER SPECIFIED INJURIES OF HEAD, INITIAL ENCOUNTER
DX	L97402	NON-PRESSURE CHRONIC ULCER OF UNSPECIFIED HEEL AND MIDFOOT WITH FAT LAYER EXPOSED
PR	20606	ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING
RX	00060412102	nan
PR	0Q9000Z	DRAINAGE OF LUMBAR VERTEBRA WITH DRAINAGE DEVICE, OPEN APPROACH
DX	T86858	OTHER COMPLICATIONS OF INTESTINE TRANSPLANT
DX	E103393	TYPE 1 DIABETES MELLITUS WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL
DX	E113539	TYPE 2 DIABETES MELLITUS WITH PROLIFERATIVE DIABETIC RETINOPATHY WITH TRACTION RETINAL DETACHMENT NOT INVOLVING THE MACULA, UNSPECIFIED EYE
RX	00407270718	OPTISON
PR	0VBQ4ZX	EXCISION OF BILATERAL VAS DEFERENS, PERCUTANEOUS ENDOSCOPIC APPROACH, DIAGNOSTIC
PR	0WBFXZX	EXCISION OF ABDOMINAL WALL, EXTERNAL APPROACH, DIAGNOSTIC
DX	G651	SEQUELAE OF OTHER INFLAMMATORY POLYNEUROPATHY
DX	H35011	CHANGES IN RETINAL VASCULAR APPEARANCE, RIGHT EYE
PR	0S9B30Z	DRAINAGE OF LEFT HIP JOINT WITH DRAINAGE DEVICE, PERCUTANEOUS APPROACH
PR	35460	TRANSLUMINAL BALLOON ANGIOPLASTY, OPEN; VENOUS
RX	00009004735	nan
DX	S0431XS	INJURY OF TRIGEMINAL NERVE, RIGHT SIDE, SEQUELA
DX	E9621	ASSAULT BY OTHER SOLID AND LIQUID SUBSTANCES
RX	00074598925	nan
DX	2072	MEGAKARYOCYTIC LEUKEMIA
DX	T45516S	UNDERDOSING OF ANTICOAGULANTS, SEQUELA
PR	D0460	PULP VITALITY TESTS
DX	O669	OBSTRUCTED LABOR, UNSPECIFIED
RX	05041934458	nan
DX	S52221C	DISPLACED TRANSVERSE FRACTURE OF SHAFT OF RIGHT ULNA, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC
PR	99506	HOME VISIT FOR INTRAMUSCULAR INJECTIONS
RX	00024414260	MULTAQ
PR	G9529	PATIENT WITH MINOR BLUNT HEAD TRAUMA HAD AN APPROPRIATE INDICATION(S) FOR A HEAD CT
PR	0FY00Z0	TRANSPLANTATION OF LIVER, ALLOGENEIC, OPEN APPROACH
RX	05785800412	nan
PR	8840	ARTERIOGRAPHY USING CONTRAST MATERIAL, UNSPECIFIED SITE
DX	S86091S	OTHER SPECIFIED INJURY OF RIGHT ACHILLES TENDON, SEQUELA
PR	L4080	REPLACE METAL BANDS KAFO, PROXIMAL THIGH
DX	K0841	PARTIAL LOSS OF TEETH DUE TO TRAUMA
PR	45.19	nan
PR	82015	nan
RX	70074055254	ELECARE JR
DX	S23----	nan
DX	O30022	CONJOINED TWIN PREGNANCY, SECOND TRIMESTER
DX	S82224S	NONDISPLACED TRANSVERSE FRACTURE OF SHAFT OF RIGHT TIBIA, SEQUELA
DX	0980	GONOCOCCAL INFECTION (ACUTE) OF LOWER GENITOURINARY TRACT
DX	Q891	CONGENITAL MALFORMATIONS OF ADRENAL GLAND
PR	0HRLXJ3	REPLACEMENT OF LEFT LOWER LEG SKIN WITH SYNTHETIC SUBSTITUTE, FULL THICKNESS, EXTERNAL APPROACH
DX	36651	SOEMMERING'S RING
RX	37000040514	METAMUCIL
RX	54569258000	DEPO-ESTRADIOL
DX	2982	REACTIVE CONFUSION
DX	S56519D	STRAIN OF OTHER EXTENSOR MUSCLE, FASCIA AND TENDON AT FOREARM LEVEL, UNSPECIFIED ARM, SUBSEQUENT ENCOUNTER
RX	00006934132	nan
RX	00703572001	DOCETAXEL
DX	09951	CHLAMYDIA TRACHOMATIS INFECTION OF PHARYNX
DX	S02401G	MAXILLARY FRACTURE, UNSPECIFIED SIDE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
DX	0261	STREPTOBACILLARY FEVER
